,Date,Favourites,Retweets,Timezone,Compound,Positive,Neutral,Negative,Physical Health,Learning and Career,Mental Wellbeing,Finances,Relationships,Travel and Holidays,Five or more favourites
47,Tue Jan 03 09:16:28 +0000 2017,0,1,London,0.743,0.259,0.741,0.0,1,0,0,0,0,0,0
48,Tue Jan 03 09:15:45 +0000 2017,0,0,,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
49,Tue Jan 03 09:15:41 +0000 2017,0,0,,-0.5106,0.0,0.708,0.292,0,1,0,0,0,0,0
50,Tue Jan 03 09:15:30 +0000 2017,0,0,,-0.4588,0.0,0.778,0.222,0,0,0,0,0,0,0
51,Tue Jan 03 09:15:14 +0000 2017,8,1,Pacific Time (US & Canada),0.0,0.0,1.0,0.0,0,0,0,0,0,0,1
52,Tue Jan 03 09:15:11 +0000 2017,0,0,,0.555,0.14,0.86,0.0,0,1,0,0,0,0,0
53,Tue Jan 03 09:15:08 +0000 2017,0,0,London,0.0,0.0,1.0,0.0,0,0,0,1,0,0,0
54,Tue Jan 03 09:15:06 +0000 2017,1,0,Rome,0.3612,0.152,0.848,0.0,1,0,0,0,0,0,0
55,Tue Jan 03 09:15:03 +0000 2017,0,0,America/Los_Angeles,-0.1779,0.096,0.776,0.128,0,1,0,0,0,0,0
56,Tue Jan 03 09:15:03 +0000 2017,0,0,Brisbane,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
57,Tue Jan 03 09:15:02 +0000 2017,0,0,,-0.5859,0.0,0.612,0.388,0,0,0,0,0,0,0
58,Tue Jan 03 09:15:00 +0000 2017,0,0,,0.4003,0.137,0.863,0.0,0,1,0,0,0,0,0
59,Tue Jan 03 09:14:50 +0000 2017,0,0,Eastern Time (US & Canada),0.6249,0.313,0.687,0.0,0,0,0,0,0,0,0
60,Tue Jan 03 09:14:33 +0000 2017,0,0,London,0.4588,0.214,0.786,0.0,0,0,0,0,0,0,0
61,Tue Jan 03 09:14:13 +0000 2017,0,0,London,0.0,0.0,1.0,0.0,0,0,0,0,0,1,0
62,Tue Jan 03 09:13:36 +0000 2017,0,0,Greenland,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
63,Tue Jan 03 09:13:21 +0000 2017,2,0,Arizona,-0.1007,0.071,0.845,0.084,1,0,0,0,0,0,0
64,Tue Jan 03 09:13:20 +0000 2017,1,0,,-0.5423,0.0,0.788,0.212,0,0,0,0,0,0,0
65,Tue Jan 03 09:13:20 +0000 2017,0,0,,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
66,Tue Jan 03 09:13:19 +0000 2017,1,0,,0.6588,0.305,0.695,0.0,0,1,0,0,0,0,0
67,Tue Jan 03 09:13:02 +0000 2017,1,0,,0.2263,0.083,0.917,0.0,0,0,0,0,0,0,0
68,Tue Jan 03 09:13:00 +0000 2017,0,0,London,0.4939,0.262,0.738,0.0,1,0,0,0,0,0,0
69,Tue Jan 03 09:12:39 +0000 2017,2,0,London,0.6467,0.248,0.752,0.0,0,0,1,0,0,0,0
70,Tue Jan 03 09:12:38 +0000 2017,0,0,Brisbane,0.3612,0.217,0.783,0.0,0,0,0,0,0,0,0
71,Tue Jan 03 09:12:28 +0000 2017,0,0,Casablanca,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
72,Tue Jan 03 09:11:57 +0000 2017,0,0,,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
73,Tue Jan 03 09:11:53 +0000 2017,0,0,Pacific Time (US & Canada),-0.3252,0.0,0.837,0.163,0,0,0,1,0,0,0
74,Tue Jan 03 09:11:42 +0000 2017,0,0,Arizona,0.3612,0.201,0.67,0.129,1,0,0,0,0,0,0
75,Tue Jan 03 09:11:41 +0000 2017,0,0,Pacific Time (US & Canada),0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
76,Tue Jan 03 09:11:30 +0000 2017,0,0,Bern,0.4215,0.259,0.741,0.0,0,0,0,0,0,0,0
77,Tue Jan 03 09:11:26 +0000 2017,0,0,,0.128,0.161,0.702,0.137,0,0,0,0,1,0,0
78,Tue Jan 03 09:11:21 +0000 2017,0,0,Eastern Time (US & Canada),0.128,0.161,0.702,0.137,0,0,0,0,1,0,0
79,Tue Jan 03 09:11:21 +0000 2017,0,0,,0.128,0.169,0.687,0.144,0,0,0,0,1,0,0
80,Tue Jan 03 09:10:42 +0000 2017,0,0,,0.1877,0.225,0.775,0.0,0,0,0,0,0,0,0
81,Tue Jan 03 09:10:41 +0000 2017,7,0,Sydney,-0.6573,0.0,0.646,0.354,0,0,0,0,0,0,1
82,Tue Jan 03 09:10:18 +0000 2017,0,0,London,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
83,Tue Jan 03 09:10:17 +0000 2017,1,0,London,-0.296,0.0,0.864,0.136,0,0,0,0,0,0,0
84,Tue Jan 03 09:10:07 +0000 2017,0,0,Central Time (US & Canada),0.4404,0.293,0.707,0.0,0,0,0,0,0,0,0
85,Tue Jan 03 09:10:06 +0000 2017,0,0,London,0.1007,0.105,0.807,0.089,0,0,0,0,0,0,0
86,Tue Jan 03 09:09:44 +0000 2017,0,0,Central Time (US & Canada),0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
87,Tue Jan 03 09:09:42 +0000 2017,0,0,London,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
88,Tue Jan 03 09:09:41 +0000 2017,0,0,Pretoria,0.5562,0.14,0.86,0.0,0,0,0,0,0,1,0
89,Tue Jan 03 09:09:40 +0000 2017,1,0,,0.8475,0.38,0.62,0.0,1,0,0,0,0,0,0
90,Tue Jan 03 09:09:25 +0000 2017,0,0,,0.4019,0.184,0.816,0.0,0,0,0,0,1,0,0
91,Tue Jan 03 09:09:14 +0000 2017,0,0,,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
92,Tue Jan 03 09:08:46 +0000 2017,1,0,Pacific Time (US & Canada),0.6808,0.211,0.789,0.0,0,0,0,0,1,0,0
93,Tue Jan 03 09:08:42 +0000 2017,0,0,,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0
94,Tue Jan 03 09:08:26 +0000 2017,1,0,Athens,0.1779,0.186,0.687,0.127,0,0,0,0,0,0,0
95,Tue Jan 03 09:08:14 +0000 2017,0,0,,0.0772,0.133,0.747,0.12,0,0,0,0,0,0,0
96,Tue Jan 03 09:08:08 +0000 2017,0,0,London,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
97,Tue Jan 03 09:07:44 +0000 2017,0,0,International Date Line West,-0.6249,0.0,0.745,0.255,0,0,0,0,0,0,0
